Hackathon ID,Hackathon Slug,Project Title,Project Description,Project Link,Participants Count,Likes,Comments
24228,ridgehacks-2025,gowhere,"A gamification of just walking around to make in more enjoyable and encourage activity. It convinces yourself, through in game leaderboards to transport yourself (via your feet) around you town!",https://devpost.com/software/gowhere,3,0,0
24228,ridgehacks-2025,Lightweight Racecar Simulation and Comparison for Design,The racecar design process requires a lot of fine tuning in its design. To test changes in the rear wing's airfoil engineers can use this to shave time off the simulation process with accurate results,https://devpost.com/software/lightweight-racecar-simulation-and-comparison-for-design,4,0,0
24228,ridgehacks-2025,Transit Paws,fun cross road inspired game spreading the message to use more sustainable forms of transportation,https://devpost.com/software/transit-paws,2,0,0
24228,ridgehacks-2025,Python Ursina Random Airport Generator,Safe travel across the world. Billions of possibilities.,https://devpost.com/software/python-ursina-random-airport-generator,3,0,0
24228,ridgehacks-2025,Race Car,So basically we have a car that goes around a track,https://devpost.com/software/race-car,2,0,0
24228,ridgehacks-2025,Get Active!,A simple program that allows the user to get active through randomly generated challenges,https://devpost.com/software/get-active,1,0,0
24228,ridgehacks-2025,AirDash - Airplane simulator,#Simulator #Transportation #Airplane #Fun #3D,https://devpost.com/software/airdash-airplane-simulator,1,0,0
24228,ridgehacks-2025,BullyDetect,"Using AI to identify bullying in text-based communication, promoting safer online environments.",https://devpost.com/software/bullydetect,1,1,1
24228,ridgehacks-2025,Directions,"With a given map, code will determine how far you need to drive from one place to another and eta",https://devpost.com/software/directions-pzh6it,3,0,0
20401,polyhacks-2024-20401,My Walkable City,An easy to use city generator that tries to make everything accessible with a 15min walk.,https://devpost.com/software/my-walkable-city,1,1,0
20401,polyhacks-2024-20401,CommuPartage,"CommuPartage réinvente le partage communautaire en combinant IA et plateforme intuitive pour faciliter l'échange d'outils et d'appareils, favorisant ainsi un mode de vie durable.",https://devpost.com/software/commupartage,3,5,0
20401,polyhacks-2024-20401,FarmUp,"Welcome to FarmUp! This little game aims to introduce you to vertical farms! Take care of your farmland by planting, watering and harvesting your crop, and compare your results with the vertical farm!",https://devpost.com/software/farmup-tfzjwp,3,0,0
20401,polyhacks-2024-20401,Top chrono,"Top chrono is an interactive web-based map, in which we can see where in the island of Montreal we have services in a 15-minute-radius",https://devpost.com/software/top-chrono,4,1,0
20401,polyhacks-2024-20401,Treep,"Welcome to Treep. Where you can earn points when you use public transport and redeem them for bus and metro tickets, turning your daily commute into a rewarding adventure.",https://devpost.com/software/treep,2,1,0
20401,polyhacks-2024-20401,Groof - A Green Rooftop Planner,Have you ever been to concerned about how much time a task would take? Well this website is the better solution to organize your green roof wisely.,https://devpost.com/software/groof-a-green-rooftop-planner,3,2,0
20401,polyhacks-2024-20401,CarShare,"CarBuddy: Cuts solo car trips by 50% in Montreal, using a cost-effective, potentially carbon-negative MERN stack. Safety features and personalized algorithms redefine eco-friendly commuting!",https://devpost.com/software/carshare,5,0,0
20401,polyhacks-2024-20401,Umoove,"L'application qui permet de récompenser la réduction des émissions de carbone. En plus, d'aider les villes a diminuer l'attrait pour la voiture solo. Elle s'intègre aux infrastructures déjà en place.",https://devpost.com/software/umoove,1,1,0
20401,polyhacks-2024-20401,Eco Crops,Une vue verte sur la vie.,https://devpost.com/software/eco-crops,3,3,1
20401,polyhacks-2024-20401,Recycle Rush,Recycle Rush has been developed as a fun and interactive way for people to discard their waste and learn about the importance of disposing of waste properly.,https://devpost.com/software/recycle-rush-i0qpfa,4,1,0
20401,polyhacks-2024-20401,VertTigineux,"VerTigineux, pour un monde plus vert et alléchant sans vertiges !",https://devpost.com/software/verttigineux,1,0,0
20401,polyhacks-2024-20401,CocoCar,An eco and wallet friendly way to commute,https://devpost.com/software/cococar,3,1,0
20401,polyhacks-2024-20401,Hidden Treasures,Envie de dénicher des pièces uniques pour votre logement? Vous avez une vente de garage prévue et vous souhaitez gagner en visibilité? Hidden Treasures permet le réemploi des meubles grâce à vous!,https://devpost.com/software/hidden-treasures-9nrxhy,3,3,0
20401,polyhacks-2024-20401,Rustaheat - un engin de recherche piédestrier local,Un engin de recherche efficace énergétiquement pour trouver différents types de services à moins de 15 minutes à pied de manière entièrement local.,https://devpost.com/software/rustaheat-un-engin-de-recherche-piedestrier-local,4,0,0
20401,polyhacks-2024-20401,Trash Talk,Everybody needs to talk about trash and how to recycle it. So we did it.,https://devpost.com/software/hackathon-project-45dgbm,4,0,0
20401,polyhacks-2024-20401,CommunityGrowth,Grow and grow with your community,https://devpost.com/software/communitygrowth,4,0,0
20401,polyhacks-2024-20401,ProxiCollect,Permet de trouver le point de collecte communautaire le plus proche.,https://devpost.com/software/proxicollect,1,0,0
20401,polyhacks-2024-20401,Waste-Management Web App,For a better environment,https://devpost.com/software/waste-management-web-app,3,0,0
20401,polyhacks-2024-20401,Catch Trash!,A fun game that is there to motivate you to make an impact :),https://devpost.com/software/catch-trash,3,0,0
20401,polyhacks-2024-20401,GreenRide,"Revolutionize commuting with our app! Save money, cut emissions. Using Flutter and Firebase for a seamless, eco-friendly experience. Join the green transport movement now!",https://devpost.com/software/greenride-faukso,1,1,0
20401,polyhacks-2024-20401,UnoAuto,"Découvrez UnoAuto, l'appli innovante pour covoiturage urbain! Partagez trajets, économisez argent, réduisez empreinte carbone en prennant la route la plus optimale. Rejoignez-nous dès aujourd'hui!",https://devpost.com/software/unoauto,4,0,0
20401,polyhacks-2024-20401,Services15,Permettre à un planificateur urbain de visualiser les endroits avec des services manquants pour se rapprocher d'une ville de 15 minutes en optimisant la construction de nouveaux services.,https://devpost.com/software/services15,4,0,0
20401,polyhacks-2024-20401,A smoothie shop,A breakfast diner to let you choose your favourite fruit smoothie by healthy information.,https://devpost.com/software/a-smoothie-shop,1,0,0
20401,polyhacks-2024-20401,ÉcoloRolo,Réduire le gaspillage alimentaire un aliment à la fois!,https://devpost.com/software/ecolorolo-2ntp4y,2,0,0
20401,polyhacks-2024-20401,"Our City, Our Voice","Our City, Our Voice aims to empower people who will actually live in 15 minute cities to make their voice heard about what they truly need.",https://devpost.com/software/our-city-our-voice,3,0,0
20401,polyhacks-2024-20401,Ecoscan,For a more sustainable tomorrow,https://devpost.com/software/ecoscan-xvl3up,4,2,0
20401,polyhacks-2024-20401,BMW(B),Elevator pitch placeholder,https://devpost.com/software/bmw-b,3,0,0
20401,polyhacks-2024-20401,DurableMail,"Abonnement DurableMail : Explorez le développement durable avec des envois mensuels inspirants. Informez-vous, agissez, changez le monde.",https://devpost.com/software/durablemail,2,2,0
20401,polyhacks-2024-20401,PolyFoodSOS,Planification de souper et diner pour eviter le gaspillage alimentaire,https://devpost.com/software/polyfoodsos,3,0,0
20401,polyhacks-2024-20401,Safe and Sound,Allows cities to monitor noise levels at different times of the day with the goal of tackling noise pollution at those peak hours,https://devpost.com/software/safe-and-sound-zms5nj,4,3,0
20401,polyhacks-2024-20401,EcoVoiturage,"Our project aims to maximize the utility of car journeys by creating a carpooling platform. This platform allows users to easily share rides, making transportation more efficient and convenient.",https://devpost.com/software/ecovoiturage,4,0,0
20401,polyhacks-2024-20401,VertiGrow,"Dive into ""VertiGrow"" a cute pixel art game where you blend aquaculture with hydroponics to create a thriving eco-friendly farm. Grow plants, raise fish, and build your aquaponic paradise!",https://devpost.com/software/vertigrow,2,0,0
20401,polyhacks-2024-20401,Turtle-kun,"A educational interactive top down survivor game about recycling, reusing, reducing and valuation in very early stages in development",https://devpost.com/software/turtle-kun,4,0,0
20401,polyhacks-2024-20401,Botanix,"Botanix est une plateforme dédiée à l'alimentation durable qui met à disposition des guides de jardinage et de cuisine, intégrés à un système de défi, dans le but de favoriser l'autosuffisance verte.",https://devpost.com/software/botanix,4,1,1
20401,polyhacks-2024-20401,WalkReadyUs,Une application pour trouver les services essentiels à une courte distance de marche de chez vous pour promouvoir la ville de 15 minutes.,https://devpost.com/software/walkreadyus,4,0,0
20401,polyhacks-2024-20401,Tag-Along,Une application de covoiturage qui utilise un server backend rust pour faire les calculs et un frontend en Angular.,https://devpost.com/software/tag-along-1gt6ic,2,0,0
20401,polyhacks-2024-20401,Grow Green,Permet aux gens de facilement donner leurs reste de nourriture pour faire du composte au jardinier dans leur région,https://devpost.com/software/grow-green-31q2li,4,0,0
20401,polyhacks-2024-20401,Commute Companion,Commute companion est un site web favorisant le covoiturage dans chaque déplacement.,https://devpost.com/software/commute-companion,1,0,0
20401,polyhacks-2024-20401,GreenProximity,"Greenproximity facilite vos choix de déménagement, identifie les opportunités commerciales et améliore la ville en favorisant la mobilité active. Proximité verte, opportunités gagnantes! 🌿",https://devpost.com/software/greenproximity,2,1,0
20401,polyhacks-2024-20401,T'as pas Pigeon?,"Un jeu ou les enfants mignons sont les méchants, et les pigeons sont les héros. Une course contre la RAM.",https://devpost.com/software/t-as-pas-pigeon,1,0,0
20401,polyhacks-2024-20401,Fight Food Waste,"Chaque année, 1,3 milliard de tonnes de nourriture sont gaspillées. Avec Fight Food Waste, réduisez vos déchets alimentaires tout en découvrant de nouvelles recettes!",https://devpost.com/software/fight-food-waste,2,0,0
20401,polyhacks-2024-20401,GreenBasket,GreenBasket provides users with a personalized interactive map of local farmers and businesses based on their location and allows farmers to sell their leftovers in the light of fighting food waste.,https://devpost.com/software/greenbasket-mkjbsr,4,1,0
20401,polyhacks-2024-20401,TriClotron,Faciliter le triage des déchets!,https://devpost.com/software/triclotron,2,1,0
20401,polyhacks-2024-20401,Apprenti Recycleur,Les RRRV passent par l'éducation. RRRV must go through education.,https://devpost.com/software/apprenti-recycleur,4,1,0
20401,polyhacks-2024-20401,PolloVision,Have you ever wondered what bin to throw your trash?,https://devpost.com/software/pollovision,4,0,0
20401,polyhacks-2024-20401,PlotPal,"PlotPal: Empowering communities to cultivate connections through shared garden spaces, fostering sustainable living and collective growth.",https://devpost.com/software/plotpal,3,0,0
20401,polyhacks-2024-20401,EcoSight,Recycle sans crainte avec EcoSight,https://devpost.com/software/ecosight-li4soc,4,4,0
20401,polyhacks-2024-20401,EcoSort,"Waste sorting assistant application developed for the PolyHacks. This project aims to help users efficiently sort their waste, providing real-time guidance on how to properly dispose of various items.",https://devpost.com/software/ecosort-q8tlwo,3,0,0
20401,polyhacks-2024-20401,Radius15,Live the 15 min walkable life!,https://devpost.com/software/radius15,4,1,0
25057,recess-hacks-5-0,Helping Hand,"As a teen, skills such as cooking, tying knots, and sewing clothes are crucial to be independent, but they aren’t always something you learn by watching a youtube video or two.",https://devpost.com/software/helping-hand-pwkoi6,2,5,1
25057,recess-hacks-5-0,TeenThrive,"AI independence coach for teens - instant life skills training, real-world simulations, personalized guidance - no signups needed.",https://devpost.com/software/teenthrive,1,0,0
25057,recess-hacks-5-0,Studium,"A gamified study app that helps teens build habits, not just homework checklists.",https://devpost.com/software/studium-k0sfw7,3,3,0
25057,recess-hacks-5-0,NextStep,Your next step toward smarter opportunities!,https://devpost.com/software/nextstep-taz4j6,3,2,0
25057,recess-hacks-5-0,Tiny to Mighty: A Kiddo's Journey,"Tiny to Mighty is a joyful game about growing up and independence. Through real-life interaction, fun facts, and a touching ending, it’s both fun and meaningful. Made for Recess Hacks 5.0 Hackathon.",https://devpost.com/software/tiny-to-mighty-a-kiddo-s-journey,1,2,0
25057,recess-hacks-5-0,ThriveHub,"ThriveHub helps teens build life skills with 3 tools: quick recipe generator, budgeting assistant, and anxiety copilot—simple, practical support for daily confidence.",https://devpost.com/software/thrivehub,4,3,0
25057,recess-hacks-5-0,TeenToolkit,"The one-stop shop for notes, goals, and growth.",https://devpost.com/software/teentoolkit,4,1,0
25057,recess-hacks-5-0,PathPal,Travel Smarter. Travel Safer. PathPal.,https://devpost.com/software/pathpal-fel297,2,1,0
25057,recess-hacks-5-0,Kealan's Autonomy Hub,A website dedicated to helping teens learn essential life skills...totally,https://devpost.com/software/kealan-s-autonomy-hub,1,0,3
