Hackathon	Hackathon Slug	Project Title	Project Description	Project Link	Participants Count	Likes	Comments	Gallery URL
DevHacks	devhacksasu	Green In Check	Green In Check is a friendly website and AI chatbot. This comprehensive approach empowers users to make informed decisions and hold companies accountable for their environmental promises.	https://devpost.com/software/green-in-check	1	0	0	https://devhacksasu.devpost.com/project-gallery
DevHacks	devhacksasu	Fresh Start	"Feed People, Not Landfills"	https://devpost.com/software/fresh-start-d4cwzl	1	0	0	https://devhacksasu.devpost.com/project-gallery
DevHacks	devhacksasu	CareerCatalyst.AI	"CareerCatalyst.AI: Breaking Through Hiring Barriers, One Career at a Time"	https://devpost.com/software/careercatalyst-ai	1	1	0	https://devhacksasu.devpost.com/project-gallery
DevHacks	devhacksasu	Signify - Sign with Signify	"Ever wish you could talk to Google with just your hands? Well, now you can! We built a Chrome extension that reads ASL using your webcam, figures out what you’re saying, and Googles it for you."	https://devpost.com/software/signify-vzwxs9	1	0	0	https://devhacksasu.devpost.com/project-gallery
DevHacks	devhacksasu	Visual Buddy	Visual learning to make learning fun and interactive!	https://devpost.com/software/visual-buddy-04dbj5	1	0	0	https://devhacksasu.devpost.com/project-gallery
DevHacks	devhacksasu	Eko	"Know what you wear. Live Eco, Live Eko"	https://devpost.com/software/eko-a7byn5	1	0	0	https://devhacksasu.devpost.com/project-gallery
DevHacks	devhacksasu	ASU Lost & Found	"Tagline: Find It Fast, Connect Instantly."	https://devpost.com/software/asu-lost-found	1	0	0	https://devhacksasu.devpost.com/project-gallery
DevHacks	devhacksasu	Globe Pulse	"Globe Pulse makes sustainability real track CO? savings, earn rewards, and turn daily habits into impact. No greenwashing, just real people making change Empowering sustainability one habit at a time."	https://devpost.com/software/globe-pulse	1	2	0	https://devhacksasu.devpost.com/project-gallery
DevHacks	devhacksasu	ProsPal: Custom Prosthetic Prototype Generator	"Introducing our web app that uses LLMs to create custom prosthetic instructions on-the-fly. Input your condition and constraints to receive detailed, easy-to-follow guides for assistive devices!"	https://devpost.com/software/prospal-custom-prosthetic-prototype-generator	1	0	0	https://devhacksasu.devpost.com/project-gallery
DevHacks	devhacksasu	Eco Guard	Unmasking Greenwashing: AI-Powered Fraud Detection for Sustainable Accountability	https://devpost.com/software/eco-guard	1	0	0	https://devhacksasu.devpost.com/project-gallery
